Compound,density (g/cm^3),Cp (J/kg K),Elastic Modulus (GPA),CTE (C^-1) * 10e6,log( (k) (W m-1 K-1)),oxide,carbide ,borides ,nitride ,silicates/aluminosilicates 
Al2O3,3.99,800,404.25,8.25,3.401197382,1,0,0,0,0
SiO2 (Crystalline),2.65,700,94.88817891,10,2.197224577,1,0,0,0,0
ZrO2,6,450,196.875,9,1.098612289,1,0,0,0,0
HfO2,9.7,120,224.6853147,6,0.262364264,1,0,0,0,0
MgO,3.58,923.5,372.3340471,10.8,4.077537444,1,0,0,0,0
CaO,3.3,800,107.3350923,1.2,2.995732274,1,0,0,0,0
Y2O3,5.02,400,177.0640777,8,2.48490665,1,0,0,0,0
La2O3,6.51,331,162.9133409,10,1.386294361,1,0,0,0,0
CeO2,7.22,358,173.8224852,12.1,2.48490665,1,0,0,0,0
TiO2,4.23,690,236.25,9,2.140066163,1,0,0,0,0
Cr2O3,5.22,785,317.4846626,7.5,3.496507561,1,0,0,0,0
Fe2O3,5.24,650,223.3576642,12,1.945910149,1,0,0,0,0
Fe3O4,5.17,620,160,11.5,1.62924054,1,0,0,0,0
MnO,5.37,635,146.4795918,13.5,1.568615918,1,0,0,0,0
MnO2,5.02,625,118.8,11,1.360976553,1,0,0,0,0
CoO,6.44,730,197.5609756,13,2.674148649,1,0,0,0,0
Co3O4,6.11,450,186.48,10.5,2.772588722,1,0,0,0,0
NiO,6.67,590,196.1538462,13.1,2.525728644,1,0,0,0,0
ZnO,5.61,495,121.9354839,4.7,3.401197382,1,0,0,0,0
SnO2,6.95,350,224.6853147,4,3.555348061,1,0,0,0,0
BaO,5.72,310,78,13.5,0.832909123,1,0,0,0,0
SrO,4.7,440,103.7288136,13,1.252762968,1,0,0,0,0
Na2O,2.27,1150,64.28571429,25,0.405465108,1,0,0,0,0
K2O,2.35,820,52.25806452,28,0.182321557,1,0,0,0,0
Li2O,2.01,1820,114.75,26,1.791759469,1,0,0,0,0
BeO,3.01,1030,368.1818182,8,5.521460918,1,0,0,0,0
V2O5,3.36,720,65.85365854,15,0.693147181,1,0,0,0,0
Nb2O5,4.6,495,171.7431193,5.3,0.916290732,1,0,0,0,0
Ta2O5,8.2,305,158.8235294,3.6,1.098612289,1,0,0,0,0
MoO3,4.69,520,53.51351351,12,0.09531018,1,0,0,0,0
WO3,7.16,320,131.7073171,14,1.504077397,1,0,0,0,0
AlTiO5,3.7,780,38.57142857,1,0.405465108,1,0,0,0,0
MgAl2O4,3.58,840,267.0652174,8.5,2.708050201,1,0,0,0,0
ZnAl2O4,4.61,680,258.041958,8,2.48490665,1,0,0,0,0
FeAl2O4,4.39,740,232.3255814,9,1.871802177,1,0,0,0,0
MgCr2O4,4.41,745,244.2857143,8.2,2.708050201,1,0,0,0,0
ZrSiO4,4.67,550,279.3103448,4.5,1.609437912,0,0,0,0,1
HfSiO4,6.97,350,297.4850299,4.6,1.504077397,0,0,0,0,1
Y3Al5O12,4.55,590,284.4274809,8,2.564949357,1,0,0,0,0
LaAlO3,6.52,450,232.3255814,10,2.397895273,1,0,0,0,0
SrTiO3,5.12,530,283.0078125,9.4,2.397895273,1,0,0,0,0
BaTiO3,6.02,430,165.1764706,12,1.791759469,1,0,0,0,0
CaTiO3,4.04,670,263.7209302,11,2.197224577,1,0,0,0,0
ZrTiO4,5.05,510,194.5945946,8,1.252762968,1,0,0,0,0
HfTiO4,6.95,320,208.2644628,7.5,1.16315081,1,0,0,0,0
MgTiO3,3.89,790,229.5,10.5,2.079441542,1,0,0,0,0
CaZrO3,4.58,540,236.6517857,10.5,1.504077397,1,0,0,0,0
BaZrO3,6.21,380,213.3173077,7.5,1.704748092,1,0,0,0,0
Y2SiO5,4.45,570,156.7741935,7,1.386294361,0,0,0,0,1
Y2Si2O7,4.04,610,169.65,3.9,1.252762968,0,0,0,0,1
Al6Si2O13,3.17,770,230.4878049,5.3,1.386294361,0,0,0,0,1
Mg2SiO4,3.22,850,199.1489362,11,1.609437912,0,0,0,0,1
MgSiO3,3.2,820,262.5,10,1.386294361,0,0,0,0,1
CaSiO3,2.91,740,138.3088235,11,0.916290732,0,0,0,0,1
SiC,3.21,670,444.7976879,4,4.787491743,0,1,0,0,0
ZrC,6.73,350,386.3414634,6.7,2.995732274,0,1,0,0,0
HfC,12.2,210,441.5469613,6.6,2.995732274,0,1,0,0,0
TaC,14.3,190,532.7125506,6.3,3.091042453,0,1,0,0,0
TiC,4.93,710,450.989011,7.4,3.044522438,0,1,0,0,0
WC,15.63,185,693,5.2,4.700480366,0,1,0,0,0
Mo2C,8.9,240,323.2044199,7.8,2.995732274,0,1,0,0,0
NbC,7.6,380,372.8571429,6.6,2.63905733,0,1,0,0,0
VC,5.77,620,409.3436293,7.2,2.48490665,0,1,0,0,0
Cr3C2,6.68,650,396.4285714,10.3,2.944438979,0,1,0,0,0
B4C,2.52,950,454.787234,4.5,3.555348061,0,1,0,0,0
Ti3SiC2,4.5,580,303.75,9.2,3.610917913,0,1,0,0,0
ZrB2,6.08,480,450.989011,5.9,4.094344562,0,0,1,0,0
HfB2,10.5,250,501.2953368,6.3,3.912023005,0,0,1,0,0
TiB2,4.52,620,564.9230769,8.1,4.17438727,0,0,1,0,0
TaB2,12.6,230,602.3622047,6.5,3.496507561,0,0,1,0,0
VB2,5.1,550,500.2941176,7.6,3.688879454,0,0,1,0,0
CrB2,5.22,590,392.2641509,10.5,3.401197382,0,0,1,0,0
MoB,8.65,280,407.5471698,7,3.218875825,0,0,1,0,0
WB,15.3,170,486.6923077,6.5,3.401197382,0,0,1,0,0
LaB6,4.72,510,301.1811024,6.4,3.871201011,0,0,1,0,0
CeB6,4.8,500,299.3951613,6.3,3.80666249,0,0,1,0,0
Si3N4,3.17,710,321.4285714,3.3,3.401197382,0,0,0,1,0
AlN,3.26,740,320.5479452,4.5,5.192956851,0,0,0,1,0
BN,2.1,800,37.5,1,3.555348061,0,0,0,1,0
TiN,5.22,600,425.4146341,9.4,3.36729583,0,0,0,1,0
ZrN,7.09,390,385.359116,7.2,3.091042453,0,0,0,1,0
HfN,13.8,185,408.5714286,6.5,2.944438979,0,0,0,1,0
VN,6.13,550,375,9,2.48490665,0,0,0,1,0
CrN,5.9,500,356.6459627,2.3,2.442347035,0,0,0,1,0
TaN,14.3,195,496.5517241,3.6,2.302585093,0,0,0,1,0
NbN,8.4,360,369.6428571,10.1,2.442347035,0,0,0,1,0
GaN,6.15,490,382.7848101,3.1,4.86753445,0,0,0,1,0
InN,6.81,350,261.509434,4,3.80666249,0,0,0,1,0
MoSi2,6.24,420,437.9268293,8.1,3.912023005,0,0,0,0,0
WSi2,9.3,210,437.6571429,7.9,3.688879454,0,0,0,0,0
TiSi2,4.02,580,261.509434,10.5,3.218875825,0,0,0,0,0
ZrSi2,4.88,440,318.2142857,8.3,3.555348061,0,0,0,0,0
HfSi2,8.03,290,338.8965517,7.8,3.401197382,0,0,0,0,0
TaSi2,9.1,200,384.5962733,8.8,3.465735903,0,0,0,0,0
NbSi2,5.69,385,365.5862069,9.5,3.63758616,0,0,0,0,0
CrSi2,4.39,570,311.6554054,11,2.302585093,0,0,0,0,0
FeSi2,4.84,550,271.4516129,11.2,2.079441542,0,0,0,0,0
CoSi2,4.95,545,325.7608696,10.1,3.80666249,0,0,0,0,0
NiSi2,4.83,550,199.1489362,12,3.688879454,0,0,0,0,0
W,19.25,132,411.7231897,4.5,5.153291594,0,0,0,0,0
Mo,10.28,250,306.6666667,4.8,4.927253685,0,0,0,0,0
Ta,16.69,140,185.6502242,6.3,4.043051268,0,0,0,0,0
Nb,8.57,265,106.0948905,7.3,3.988984047,0,0,0,0,0
Re,21.02,137,460.2018634,6.2,3.871201011,0,0,0,0,0
Ir,22.56,131,516.9230769,6.4,4.990432587,0,0,0,0,0
Os,22.59,130,564.1735537,5.1,4.465908119,0,0,0,0,0
Hf,13.31,144,82.5,5.9,3.135494216,0,0,0,0,0
Zr,6.52,270,88.72641509,5.7,3.091042453,0,0,0,0,0
Ti,4.51,520,116.4705882,8.6,3.086486637,0,0,0,0,0
Cr,7.19,449,278.3193277,4.9,4.543294782,0,0,0,0,0
V,6.11,489,128.4250474,8.4,3.433987204,0,0,0,0,0
Mg2Al4Si5O18,2.51,820,139.4366197,1.5,1.098612289,0,0,0,0,1
CaMgSi2O6,3.27,800,151.2,8.5,0.916290732,0,0,0,0,1
NaAlSi3O8,2.62,750,76.15384615,7.5,0.741937345,0,0,0,0,1
KAlSi3O8,2.56,720,64.28571429,6.5,0.832909123,0,0,0,0,1
CaAl2Si2O8,2.73,780,101.8867925,5.5,0.78845736,0,0,0,0,1
MgAl2Si3O10,2.8,850,87.90697674,9,0.693147181,0,0,0,0,1
LiAlSi2O6,3.15,800,139.4366197,8.5,1.029619417,0,0,0,0,1
Na2SiO3,2.4,1050,52.25806452,18,0.09531018,0,0,0,0,1
Ca2SiO4,3.28,760,138.3088235,12,0.955511445,0,0,0,0,1
Aluminum,2.7,900,70.01574803,23.1,5.468060141,0,0,0,0,0
Aluminum 6061,2.7,896,69.40677966,23.6,5.117993812,0,0,0,0,0
Aluminum 7075,2.81,960,72,23.4,4.86753445,0,0,0,0,0
Duralumin,2.78,880,74.47773279,22.5,5.010635294,0,0,0,0,0
Copper,8.96,385,129.2307692,16.5,5.993961427,0,0,0,0,0
SS 304,8,500,196.2597656,17.2,2.785011242,0,0,0,0,0
SS 316,8,500,197.2485769,16,2.708050201,0,0,0,0,0
SS 347,8,500,197.2485769,16.5,2.778819272,0,0,0,0,0
SS 410,7.75,460,205.7142857,11,3.214867803,0,0,0,0,0
